4, 10, 13, 28, 33   11, 12
12, 19, 20, 22, 28  2, 6
1, 3, 31, 32, 34    1, 3
1, 12, 18, 26, 35   6, 12
5, 11, 16, 18, 27   7, 12
6, 16, 26, 33, 35   4, 8
3, 9, 21, 28, 30    1, 12
1, 3, 5, 7, 18      8, 9
8, 12, 15, 27, 30   1, 2
1, 2, 4, 16, 24     7, 9
1, 4, 7, 11, 30     7, 8
3, 8, 21, 26, 33    4, 5
7, 9, 13, 14, 33    2, 4
1, 4, 18, 24, 28    2, 3
6, 22, 28, 29, 33   2, 7
16, 18, 24, 25, 27  2, 7

10, 12, 15, 17, 19  2, 3
6, 13, 16, 19, 29   3, 7
11, 17, 19, 29, 33  8, 9
1, 3, 14, 26, 30    6, 11
1, 4, 14, 15, 21    1, 5
7, 13, 17, 24, 33   1, 10
1, 8, 16, 27, 34    3, 12
4, 11, 19, 25, 32   1, 2
3, 18, 19, 26, 34    6, 12
1, 5, 7, 22, 25     3, 4
3, 5, 13, 16, 28    2, 6
2, 5, 10, 13, 30    4, 6
12, 14, 20, 28, 31  9, 11
8, 10, 15, 17, 18   1, 8
5, 9, 17, 18, 19    7, 10
4, 12, 13, 16, 17   4, 9
3, 7, 24, 25, 27    2, 12
3, 9, 15, 18, 26    6, 12
3, 8, 17, 20, 24     6, 11
3, 12, 16, 29, 32   1, 5
14, 17, 19, 25, 30  4, 8
21, 26, 27, 29, 34  5, 6
15, 16, 17, 31, 32  3, 9
4, 8, 18, 20, 32    10, 12
2, 7, 14, 22, 31    1, 7
6, 18, 23, 26, 28   3, 12
14, 22, 23, 26, 30   3, 5
3, 6, 7, 8, 21      1, 8
2, 4, 5, 12, 28     8, 11
其中后两位重复
29, 33
26, 30
-------------------------

4, 8, 18, 29, 30    3, 7
5, 12, 13, 31, 34   10, 12
1, 7, 10, 11, 20    3, 6
2, 6, 24, 33, 34    2, 3
1, 11, 26, 33, 35   2, 10
3, 8, 9, 13, 33     1, 2
9, 18, 29, 31, 33   6, 11
6, 17, 18, 24, 31   7, 11
4, 7, 20, 22, 33    1, 2
19, 24, 28, 29, 34  10, 11
3, 7, 23, 26, 33    4, 9
1, 6, 8, 12, 15     3, 4
































